ID,Action,Question,Options
496,KEEP,"Which one of the following statements about lysosomes is NOT correct?","A. They are waste disposal system of the cell   |   B. They breakdown all inorganic materials   |   C. These are also referred to as 'suicidal bags'   |   D. Lysosomes stop entry of foreign materials"
497,KEEP,"Which of the following two cell organelles have their own genetic material?","A. Endoplasmic reticulum and plastids   |   B. Endoplasmic reticulum and mitochondria   |   C. Mitochondria and plastids   |   D. Lysosomes and Golgi apparatus"
498,KEEP,"Which one among the following tissues help to connect two bones?","A. Tendons   |   B. Ligaments   |   C. Areolar tissue   |   D. Cartilage"
499,KEEP,"Which one among the following is the source of energy in cells?","A. ADP   |   B. ATP   |   C. AMP   |   D. NAD"
500,KEEP,"In which one among the following the vegetative propagation takes place through Eye Buds?","A. Potato   |   B. Ginger   |   C. Onion   |   D. Sugarcane"
501,KEEP,"The intermixing of particles of two different types of matter on their own is called","A. Osmosis   |   B. Brownian motion   |   C. Diffusion   |   D. Conductance"
502,KEEP,"Which one among the following separation techniques is used for blood tests in diagnostic laboratories?","A. Filtration   |   B. Chromatography   |   C. Centrifugation   |   D. Crystallization"
503,KEEP,"Which one among the following elements is polyatomic?","A. Phosphorus   |   B. Sulphur   |   C. Chlorine   |   D. Aluminium"
504,KEEP,"Which of the following anions has a valency of -3?","A. Nitride   |   B. Nitrate   |   C. Sulphide   |   D. Sulphate"
505,KEEP,"The mass of 0.5 mole of N2 gas is","A. 7 g   |   B. 14 g   |   C. 21 g   |   D. 28 g"
506,KEEP,"The chemical reaction: 2AgCl (s) -> 2Ag (s) + Cl2 (g) takes place","A. in dark   |   B. in sunlight   |   C. on heating   |   D. under high pressure"
507,KEEP,"Which one among the following is commonly used as an 'anti-skinning agent' in paints?","A. Gelatin   |   B. N-methyl pyrrolidone   |   C. Pyridine   |   D. Polyhydroxy phenol"
508,KEEP,"Two resistances of 5.0 Ω and 7.0 Ω are connected in series and the combination is connected in parallel with a resistance of 36.0 Ω. The equivalent resistance of the combination of three resistors is","A. 24.0 Ω   |   B. 12.0 Ω   |   C. 9.0 Ω   |   D. 6.0 Ω"
509,KEEP,"Shown in the figure are two hollow cubes C1 and C2 of negligible mass partially filled (depicted by darkened area) with liquids of densities ρ1 and ρ2, respectively, floating in water (density ρw). The relationship between ρ1, ρ2 and ρw is","A. ρ2 < ρw < ρ1   |   B. ρ2 < ρ1 < ρw   |   C. ρ1 < ρ2 < ρw   |   D. ρ1 < ρw < ρ2"
510,KEEP,"An astronaut whose weight on the Earth is 600 N experiences weightlessness on International Space Station orbiting around the Earth. It means that","A. acceleration of the astronaut is zero   |   B. normal reaction of the space-station floor on the astronaut is zero   |   C. gravitational pull of earth on the astronaut is zero   |   D. space station applies a centrifugal force on the astronaut"
511,KEEP,"Which one among the following figures correctly represents the ray diagram? (Consider the lens to be thin)","A. Figure (a)   |   B. Figure (b)   |   C. Figure (c)   |   D. Figure (d)"
512,KEEP,"Lightning is due to","A. The flow of charges between different parts of the cloud   |   B. The short-circuiting of charges between the upper and lower surfaces of the cloud   |   C. The collection of positively charged particles on the base and collection of negatively charged particles at the top of the cloud   |   D. The induction of positive charge on the ground below the negative charge at the base of the cloud"
513,KEEP,"In which one among the following situations, the bulb would glow the most? (Consider all batteries are the same)","A. Figure (a)   |   B. Figure (b)   |   C. Figure (c)   |   D. Figure (d)"
514,KEEP,"Which one among the following diagrams may correctly represent the motion of a skydiver during a jump?","A. Figure (a)   |   B. Figure (b)   |   C. Figure (c)   |   D. Figure (d)"
515,KEEP,"Which one of the following sketches correctly describes a lever of second class?","A. Figure (a)   |   B. Figure (b)   |   C. Figure (c)   |   D. Figure (d)"
516,KEEP,"For an electric circuit given below, the correct combination of voltage (V) and current (I) is","A. V = 900 V; I = 18 A   |   B. V = 300 V; I = 5.5 A   |   C. V = 600 V; I = 1 A   |   D. V = 300 V; I = 2 A"
517,KEEP,"Taxila was the capital of which one among the following Mahajanapadas of ancient India?","A. Kuru   |   B. Kasi   |   C. Gandhar   |   D. Avanti"
518,KEEP,"Who among the following was the last Governor-General of India before the office was permanently abolished?","A. Lord Mountbatten   |   B. Chakravarti Rajagopalachari   |   C. Lord Wavell   |   D. Lord Linlithgow"
519,KEEP,"Which among the following statements with regard to Five Year Plans in India is/are correct?","A. The First and Ninth five year plans accorded high priority to agriculture   |   B. The Third Plan was based on the Harrod-Domar Model   |   C. Seventh Plan focused on food, work and productivity   |   D. The Ninth five year plan emphasized on massive investments in public sector"
520,KEEP,"Before the inception of the First Five year Plan, which among the following Plans were initiated in India?","A. Bombay Plan   |   B. Peoples Plan   |   C. Sarvodaya Plan   |   D. Gandhian Plan"
521,KEEP,"Any land that is left fallow for more than five years is termed as","A. Current fallow   |   B. Fallow other than current fallow   |   C. Culturable waste land   |   D. Barren and waste land"
522,KEEP,"Which statement is NOT correct with reference to Andaman and Nicobar Islands?","A. Climate is humid, tropical coastal climate   |   B. Maximum rainfall occurs between March and April   |   C. Andaman and Nicobar islands are separated by 10 degree Channel which is 150 Km wide   |   D. Islands are inhabited by Negrito tribes"
523,KEEP,"Which one among the following local winds is NOT related to Mediterranean Sea?","A. Harmattan   |   B. Khamsin   |   C. Sirocco   |   D. Mistral"
524,KEEP,"Which one among the following is a landlocked water body?","A. Mediterranean Sea   |   B. Black Sea   |   C. Red Sea   |   D. Caspian Sea"
525,KEEP,"Which one among the following statements with reference to Benguela current is NOT correct?","A. It influences the climate of the West coast of North Africa   |   B. It is a cold current   |   C. Its direction is from South to North   |   D. It flows in the Atlantic Ocean"
526,KEEP,"The lowest part of most bolsons is occupied by a landform called playa. Which category of landform does it represent?","A. Fluvial landforms   |   B. Arid landforms   |   C. Glacial landforms   |   D. Periglacial landforms"
527,KEEP,"Which one among the following diseases is caused due to deficiency of Vitamin D in humans?","A. Beriberi   |   B. Scurvy   |   C. Rickets   |   D. Pneumonia"
528,KEEP,"Which one among the following combinations most appropriately represent the components of balanced diet?","A. Carbohydrate, vitamins, proteins, fat, minerals, fibres and water   |   B. Carbohydrate, vitamins, proteins, fat and minerals   |   C. Carbohydrate, vitamins, protein, minerals and water   |   D. Vitamins, protein, fat, minerals, fibres and water"
529,KEEP,"In which part or organ of human body cartilage is NOT found?","A. Nose   |   B. Trachea   |   C. Bronchiole   |   D. Knee joint"
530,KEEP,"Which part of nephron of the human kidney is responsible for filtration of blood for excretion?","A. Collecting duct   |   B. Renal vein   |   C. Ureter   |   D. Bowman's capsule"
531,KEEP,"Organisms of which of the following phylum are called sponges?","A. Coelenterata   |   B. Platyhelminthes   |   C. Porifera   |   D. Echinodermata"
532,KEEP,"A point object is placed at the centre of curvature of a spherical concave mirror. Which one among the following would be the correct location of image formed?","A. At infinity   |   B. At the centre of curvature   |   C. At the focal point   |   D. Between the focal point and the centre of curvature"
533,KEEP,"Which one among the following is correct for a person suffering from myopia?","A. The person can see near objects clearly   |   B. The person can see distant objects clearly   |   C. The person cannot distinguish colours   |   D. The person can neither see near objects nor distant objects clearly"
534,KEEP,"A vehicle starts moving along a straight line path from rest. In first t seconds it moves with an acceleration of 2 m/s² and then in next 10 seconds it moves with an acceleration of 5 m/s². The total distance travelled by the vehicle is 550 m. The value of time t is","A. 10 s   |   B. 13 s   |   C. 20 s   |   D. 25 s"
535,KEEP,"A pumpkin weighs 7.5 N. On submerging it completely in water, 3/4 L of water gets displaced. The acceleration due to gravity at the place where the pumpkin was weighed is 10 m/s². Which one of the following is the correct value of the density of the pumpkin?","A. 10 kg/m³   |   B. 100 kg/m³   |   C. 1000 kg/m³   |   D. 10000 kg/m³"
536,KEEP,"An incandescent electric bulb converts 20% of its power consumption into light, and the remaining power is dissipated as heat. The bulb's filament has a resistance of 200 Ω and 2 A current flows through it. If the bulb remains ON for 10 h and the rate of electricity charge is ₹ 5/unit, then which among the following is the correct amount for the money spent on producing light?","A. ₹ 5   |   B. ₹ 6   |   C. ₹ 7   |   D. ₹ 8"
537,KEEP,"Which one of the following statements best defines the concept of heat?","A. The transformation of energy from one form to another   |   B. The conversion of energy into mass and vice-versa due to temperature difference   |   C. The transfer of energy due to temperature difference   |   D. The change in volume of a substance with temperature"
538,KEEP,"The masses of two planets are in the ratio of 1 : 7. The ratio between their diameters is 2 : 1. The ratio of forces which they exert on each other is","A. 1 : 7   |   B. 7 : 1   |   C. 1 : 1   |   D. 2 : 1"
539,KEEP,"A car weighs 1000 kg. It is moving with a uniform velocity of 72 km/h towards a straight road. The driver suddenly presses the brakes. The car stops in 0.2 s. The retarding force applied on the car to stop it is","A. 100 N   |   B. 1000 N   |   C. 10 kN   |   D. 100 kN"
540,KEEP,"There is a ball of mass 320 g. It has 625 J potential energy when released freely from a height. The speed with which it will hit the ground is","A. 62.5 m/s   |   B. 2.0 m/s   |   C. 50 m/s   |   D. 40 m/s"
541,KEEP,"Starting from rest a vehicle accelerates at the rate of 2 m/s² towards east for 10 s. It then stops suddenly. It then accelerates again at a rate of 4√2 m/s² for next 10 s towards south and then again comes to rest. The net displacement of the vehicle from the starting point is","A. 100 m   |   B. 200 m   |   C. 300 m   |   D. 400 m"
542,KEEP,"Which one of the following statements about the Industrial Revolution is correct?","A. Thomas Savery invented astrolabe   |   B. Thomas Newcomen invented chemical dyes   |   C. James Watt's invention converted the steam engine from being a mere pump into one which would provide energy to power machines in factories   |   D. Mathew Boulton discovered the technique of refining gold of impurities"
543,KEEP,"The first cotton mill in British India which began production in 1856 was set up by","A. Ghanshyam Das Birla   |   B. Jamnalal Bajaj   |   C. Ambalal Sarabhai   |   D. C. N. Davar"
544,KEEP,"Consider the following statements about the Linguistic Reorganization of the States:","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
545,KEEP,"Inspired by the Dandi March by Mahatma Gandhi, in Tamilnadu, C Rajagopalachari led a salt march from","A. Tirunelveli to Nagercoil   |   B. Kanchipuram to Mahabalipuram   |   C. Trichinopoly to Vedaranniyam on Tanjore coast   |   D. Chennai to Vellore"
546,KEEP,"Acharya Vinoba Bhave received the first donation of land under the Bhoodan Movement at","A. Ramgarh   |   B. Garhwa   |   C. Hyderabad   |   D. Pochampally"
547,KEEP,"Maize (makka) was introduced into India via","A. America and England   |   B. Africa and Spain   |   C. France and Russia   |   D. Portugal and Italy"
548,KEEP,"Which of the following pairs of Himalayan Passes and the Ranges in which they are located is/are correctly matched?","A. 1 and 2 only   |   B. 1 and 3 only   |   C. 3 and 4 only   |   D. 1, 2, 3 and 4"
549,KEEP,"Which one among the following statements with reference to the black cotton soils of India is NOT correct?","A. The black cotton soils are also called 'Regur'   |   B. They are highly moisture retentive   |   C. They are rich in lime   |   D. These soils have less clay factor and hence can support a wide variety of crops and vegetables"
550,KEEP,"Match List I with List II and select the correct answer using the code given below the Lists:","A. A-4, B-3, C-2, D-1   |   B. A-4, B-2, C-3, D-1   |   C. A-1, B-2, C-3, D-4   |   D. A-1, B-3, C-2, D-4"
551,KEEP,"Match List I with List II and select the correct answer using the code given below the Lists:","A. A-4, B-3, C-2, D-1   |   B. A-1, B-2, C-3, D-4   |   C. A-4, B-2, C-3, D-1   |   D. A-1, B-3, C-2, D-4"
552,KEEP,"Consider the following facts of the rivers of the Indus system:","A. 2 only   |   B. 3 only   |   C. 1 and 2   |   D. 2 and 3"
553,KEEP,"Which one of the following is an example of both an igneous as well a metamophic rock?","A. Gabbro   |   B. Geyserite   |   C. Gneissoid   |   D. Granite"
554,KEEP,"Which one of the following is correct?","A. Pyroxene is commonly found in meteorites   |   B. Amphiboles form about 20% of the Earth's crust   |   C. Quartz is soluble in water   |   D. The word 'sedimentary' is derived from the Latin word kelimentum"
555,KEEP,"Which one among the following processes is NOT part of chemical weathering?","A. Solution   |   B. Hydration   |   C. Reduction   |   D. Thawing"
556,KEEP,"What is the maximum number of electrons that can occupy the first shell of an atom?","A. 2   |   B. 4   |   C. 8   |   D. 16"
557,KEEP,"At which temperature does liquid water show maximum density?","A. 299 K   |   B. 277 K   |   C. 285 K   |   D. 373 K"
558,KEEP,"Which one among the following has valency of 3?","A. Carbon   |   B. Oxygen   |   C. Nitrogen   |   D. Sodium"
559,KEEP,"Which one among the following is an example of oxidation reaction?","A. Freezing of water   |   B. Dissolving sugar in water   |   C. Rusting of iron   |   D. Boiling of petrol"
560,KEEP,"Which one among the following fertilizers is a source of nitrogen?","A. Superphosphate   |   B. Potassium sulfate   |   C. Bone meal   |   D. Urea"
561,KEEP,"For Aluminium (Al) (atomic number: 13, mass number: 27), which one among the following statements is NOT correct?","A. Number of electrons present in Al is 13   |   B. Number of protons present in Al is 13   |   C. Number of neutrons present in Al is 14   |   D. The valency of Al is 2"
562,KEEP,"The elemental composition of diamond is","A. Carbon and Hydrogen   |   B. Carbon and Oxygen   |   C. Pure Carbon   |   D. Pure Silicon"
563,KEEP,"Which one among the following is an example of chemical change?","A. Sublimation of camphor   |   B. Melting of ice   |   C. Heating of an iron rod   |   D. Mixing of NaOH and HCl"
564,KEEP,"Which one among the following is the correct focal length of a combination of lenses of power 2.5 D and -2.0 D?","A. +0.5 m   |   B. -0.5 m   |   C. +2.0 m   |   D. -2.0 m"
565,KEEP,"The AC mains domestic supply current in India changes direction in every","A. 50 s   |   B. 1/50 s   |   C. 100 s   |   D. 1/100 s"
566,KEEP,"A block of mass 2.0 kg slides on a rough horizontal plane surface. Let the speed of the block at a particular instant is 10 m/s. It comes to rest after travelling a distance of 20 m. Which one of the following could be the magnitude of the frictional force?","A. 10 N   |   B. 20 N   |   C. 40 N   |   D. 50 N"
567,KEEP,"Given below are the four cases in which certain heat transfer is taking place: 1. Ice is melting in a glass full of water 2. Water is boiling in an open container 3. A metal rod is heated in a furnace 4. A cup of coffee is allowed to cool on a table. In which of the above cases, Newton's Law of Cooling is applicable?","A. 1 only   |   B. 4 only   |   C. 1 and 4 only   |   D. 1, 2 and 3"
568,KEEP,"Vijayanagara rulers claimed that they were ruling on behalf of","A. Lord Murugan   |   B. Lord Venkateshwara   |   C. Shri Virupaksha   |   D. Shri Vallabha"
569,KEEP,"Domingo Paes describes a king in these words: 'Of medium height, and of fair complexion and good figure, rather fat than thin; he has on his face signs of smallpox'. Identify the king from the options given below.","A. Krishnadeva Raya   |   B. Ram Raya   |   C. Devaraya II   |   D. Devaraya I"
570,KEEP,"In which Schedule of the Constitution of India, provisions as to disqualification on grounds of defection are given?","A. Ninth Schedule   |   B. Tenth Schedule   |   C. Eleventh Schedule   |   D. Sixth Schedule"
571,KEEP,"Consider the following statements: 1. The duties of the Attorney General of India are to give advice to the Government of India upon such legal matters, and to perform such other duties of a legal character, as may from time to time be referred to or assigned to him by the President of India 2. The Solicitor General of India is the secondary Law Officer of the country, who assists the Attorney General, and is himself assisted by several Additional Solicitor Generals of India. Which of the statements given above is/are correct?","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
572,KEEP,"Which of the following Committees does NOT consist of Members from the Upper House of the Parliament?","A. 1 and 2   |   B. 1 and 3   |   C. 2 only   |   D. 3 only"
573,KEEP,"In the passing of a Money Bill, the Rajya Sabha has limited powers in that it shall return the Bill, with or without any recommendation, within the stipulated time of","A. 12 days   |   B. 21 days   |   C. 14 days   |   D. 30 days"
574,KEEP,"Which of the following statements with regard to Article 19(1) of the Constitution of India is/are correct? 1. Freedoms under this Article are not absolute 2. Reasonable restrictions can be imposed on the exercise of freedoms under this Article","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
575,KEEP,"Which of the following is NOT a part of the five principles enshrined in the 'Panchsheel' agreement signed by India and China in 1954?","A. Mutual non-aggression   |   B. Mutual non-interference   |   C. Peaceful coexistence   |   D. Cultural cooperation"
576,KEEP,"Freedom Fighter Kanaklata Barua sacrificed her life while participating in","A. Rowlatt Satyagraha   |   B. Non-Cooperation Movement   |   C. Civil Disobedience Movement   |   D. Quit India Movement"
577,KEEP,"Where is the Coriolis Effect the largest?","A. At the Equator   |   B. At the Tropic of Capricorn and Tropic of Cancer   |   C. At the North Pole   |   D. At 45 degree latitude in each hemisphere"
578,KEEP,"In which among the following states in India, the Sun rays are never perpendicular?","A. 1 and 2   |   B. 1 and 3   |   C. 2 and 3   |   D. 2 and 4"
579,KEEP,"Which of the following is/are east flowing rivers in India? 1. Palar 2. Periyar 3. Pennar 4. Kalinadi","A. 1 only   |   B. 1 and 3   |   C. 2 and 4   |   D. 4 only"
580,KEEP,"Which of the following tributaries is/are correctly matched with the Deccan Rivers? Tributary - River 1. Bhavani - Krishna 2. Kabini - Kaveri 3. Manjra - Godavari 4. Bhima - Mahanadi","A. 1 and 2   |   B. 2 and 3   |   C. 1 and 3   |   D. 3 and 4"
581,KEEP,"Which one of the following is found in appreciable amount in Laterite soil in India?","A. Calcium   |   B. Phosphate   |   C. Potash   |   D. Nitrogen"
582,KEEP,"Consider the following statements regarding River Brahmaputra: 1. It rises in Tibet, near Lake Mansarovar 2. It takes a 'U' turn near Namcha Barwa and enters India through a gorge. Which of the statements given above is/are correct?","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
583,KEEP,"As the Southwest monsoon ________ through most of July, flash floods caused by the waters of the Narmada hit Jabalpur town.","A. lashed   |   B. flourished   |   C. occupied   |   D. dried"
584,KEEP,"Given the scale of the challenges that ________ us today, our company proposes more viable plans for sustainability.","A. supports   |   B. conflict   |   C. confronts   |   D. convince"
585,KEEP,"It is a really tough course, I am just worried that I won't be able to go the ________.","A. way   |   B. distance   |   C. far   |   D. route"
586,KEEP,"The ________ of the advancement made in agricultural productivity in India has been remarkable.","A. extent   |   B. context   |   C. distance   |   D. syntax"
587,KEEP,"This essay ________ and examines various systems for water appropriation and agricultural practices adapted by society in the arid conditions of Rajasthan.","A. confuses   |   B. enhances   |   C. controls   |   D. explores"
588,KEEP,"India has been able to successfully ________ its population through family planning programmes.","A. sterilise   |   B. stabilise   |   C. stratify   |   D. establish"
589,KEEP,"Adolescence is the ________ wherein a child enters adulthood.","A. threshold   |   B. position   |   C. condition   |   D. period"
590,KEEP,"The British who ruled India for 200 years were here to ________ India's natural resources.","A. spoil   |   B. implore   |   C. exploit   |   D. drill"
591,KEEP,"Endangered species have a fifty per cent or greater probability of ________ within five years or two generations whichever is longer.","A. distinction   |   B. extinction   |   C. complication   |   D. completion"
592,KEEP,"The first law of thermodynamics states that whereas energy can be ________ from one form into another, it cannot be created or destroyed.","A. reduced   |   B. induced   |   C. performed   |   D. transformed"
593,KEEP,"He is always captious.","A. worried   |   B. passionate   |   C. faultfinding   |   D. jovial"
594,KEEP,"Geomorphologists ascertain several wonderful facts about our earth.","A. verify   |   B. invert   |   C. increase   |   D. omit"
595,KEEP,"The Colonel ordered the Soldiers to meet him in the commissary.","A. office   |   B. field   |   C. playground   |   D. canteen"
596,KEEP,"The doctor dismembered the patient's finger first and then cured the ailment.","A. stitched   |   B. dissected   |   C. plastered   |   D. splintered"
597,KEEP,"Mr. Kumar works as a bursar in the sports academy.","A. secretary   |   B. accountant   |   C. coach   |   D. trainer"
598,KEEP,"His intentions are insidious.","A. pious   |   B. inadvertent   |   C. deceitful   |   D. naive"
599,KEEP,"Respect for other human beings is intrinsic to the teachings of all religions.","A. inconsistent   |   B. peripheral   |   C. inherent   |   D. existential"
600,KEEP,"He completed the onerous task with relative ease.","A. smooth   |   B. complex   |   C. risky   |   D. wearying"
601,KEEP,"Alfred was a potentate during the Middle Ages.","A. Monarch   |   B. lenient   |   C. liberal   |   D. democrat"
602,KEEP,"I abandoned the task due to indolence.","A. difficulty   |   B. laziness   |   C. ugliness   |   D. helplessness"
603,KEEP,"'Principal' and 'Principle'","A. 'Principal' means belief system, and 'principle' means head of an educational institution.   |   B. 'Principal' means head of an educational institution, and 'principle' means original sum on which interest is charged   |   C. 'Principle' means moral rule, and 'principal' means head of an educational institution.   |   D. 'Principal' means original sum on which interest is charged, and 'principle' means head of an educational institution."
604,KEEP,"'Plane' and 'Plain'","A. 'Plane' means a flat surface, and 'plain' means something that flies.   |   B. 'Plane' means the flat surface, and 'plain' means not elaborate.   |   C. 'Plane' means something that flies, and 'plain' means flat surface.   |   D. 'Plane' means not elaborate, and 'plain' means flat surface."
605,KEEP,"'Pail' and 'Pale'","A. 'Pale' means inferior or unimpressive, and 'pail' means faded.   |   B. 'Pale' means faded or light in shade, and 'pail' means inferior or unimpressive.   |   C. 'Pale' means faded or light in shade, and 'pail' means a bucket.   |   D. 'Pale' means a bucket, and 'pail' means inferior or unimpressive."
606,KEEP,"'Metal' and 'Mettle'","A. 'Metal' is a hard shiny material that is a good conductor, and 'mettle' means malleable metal.   |   B. 'Metal' is a hard shiny material that is a good conductor, and 'mettle' means metallic substance.   |   C. 'Metal' means mental resilience, and 'mettle' is a hard shiny material that is a good conductor.   |   D. 'Metal' is a hard shiny material that is a good conductor, and 'mettle' means mental resilience."
607,KEEP,"'Hail' and 'Hale'","A. 'Hail' means pellets of frozen rain, and 'hale' means wind storm   |   B. 'Hail' means pellets of frozen rain, and 'hale' means strong and healthy   |   C. 'Hail' means pellets of frozen rain, and 'hale' means to greet with enthusiastic approval   |   D. 'Hail' means strong and healthy, and 'hale' means pellets of frozen rain"
608,KEEP,"'Conscious' and 'Conscience'","A. 'Conscious' means sense of right and wrong, and 'conscience' means awareness about something   |   B. 'Conscious' means alert, and 'conscience' means presence of mind   |   C. 'Conscious' means intent, and 'conscience' means unprincipled action   |   D. 'Conscious' means aware, and 'conscience' means sense of right and wrong"
609,KEEP,"'Dissent' and 'Descent'","A. 'Dissent' means having ideas different from general beliefs or official position, and 'descent' means movement towards a lower place   |   B. 'Dissent' means having ideas different from general beliefs or official position, and 'descent' means being of acceptable standard   |   C. 'Dissent' means being of acceptable standard, and 'descent' means movement towards a lower place   |   D. 'Dissent' means being of acceptable standard, and 'descent' means ideas different from general beliefs or official position"
610,KEEP,"'Discrete' and 'Discreet'","A. 'Discrete' means separate and distinct categories of objects, and 'discreet' means misuse of authority   |   B. 'Discrete' means separate and distinct categories of objects, and 'discreet' means maintaining confidentiality   |   C. 'Discrete' means being careful in what one says or does, and 'discreet' means separate and distinct categories of objects   |   D. 'Discrete' means misuse of authority and 'discreet' means being careful in what one says or does"
611,KEEP,"'Eminent' and 'Imminent'","A. 'Eminent' means important and famous, and 'imminent' means something about to happen   |   B. 'Eminent' means something unpleasant about to happen, and 'imminent' means important and famous person   |   C. 'Eminent' means important and famous person, and 'imminent' means inherent or existing within   |   D. 'Eminent' means inherent or existing within, and 'imminent' means something about to happen"
612,KEEP,"Many metals are malleable in nature and property.","A. hard   |   B. strong   |   C. tender   |   D. weak"
613,KEEP,"To neglect a warning is to invite danger.","A. disregard   |   B. ignore   |   C. regard   |   D. overlook"
614,KEEP,"His ostentatious behaviour surprised everyone.","A. tawdry   |   B. modest   |   C. showy   |   D. extravagant"
615,KEEP,"The experience of Covid Pandemic was excruciating for much of the population.","A. gnawing   |   B. gruelling   |   C. harrowing   |   D. mild"
616,KEEP,"A trip to the hills was refreshing.","A. conniving   |   B. wearying   |   C. revivifying   |   D. rejuvenating"
617,KEEP,"The streaming of light beams coming from the Sun through trees is said to have suggested that light travels in straight line. The particles on the path of light beams are visible to us because","A. dust particles in the air reflect light into our eyes   |   B. dust particles in the air scatter light into our eyes   |   C. dust particles in the air refract light into our eyes   |   D. dust particles in the air polarize light into our eyes"
618,KEEP,"The flash of lightning is seen before the thunderstorm is heard. It verifies that","A. sound travels much faster than light   |   B. light travels much faster than sound   |   C. light and sound both travel with same speed   |   D. intensity of flash of lightning is very high during thunderstorm"
619,KEEP,"The potential difference between the two end terminals of an electric heater is 220 V and the current through it is 0.5 A. What would be the current through the heater if the potential difference across the terminals of the heater is reduced to 120 V?","A. 1.0 A   |   B. 0.5 A   |   C. 0.27 A   |   D. 0.7 A"
620,KEEP,"The heating element in an electric iron is usually made of","A. Constantan   |   B. Tungsten   |   C. Nichrome   |   D. Copper"
621,KEEP,"Sita, 1.5 m high, stands before a plane mirror fixed on a wall to view her full image. What should be the minimum height of the plane mirror so that Sita can view her image fully?","A. 0.50 m   |   B. 0.35 m   |   C. 0.75 m   |   D. 0.25 m"
622,KEEP,"Galvanization is a method of protecting iron from rusting by coating with a thin layer of","A. Gallium   |   B. Aluminum   |   C. Zinc   |   D. Silver"
623,KEEP,"Which one of the following alloys contains a non-metal as one of its constituent?","A. Brass   |   B. Bronze   |   C. Amalgam   |   D. Steel"
624,KEEP,"Buckminster fullerene, which looks like a football, is an allotropic form of","A. Phosphorus   |   B. Sulfur   |   C. Carbon   |   D. Tin"
625,KEEP,"The green plants in a terrestrial ecosystem absorbs sunlight that falls on their leaves and convert it into food energy. The percentage of solar radiation absorbed by all green plants for the process of photosynthesis is about","A. 1%   |   B. 5%   |   C. 8%   |   D. 10%"
626,KEEP,"Consider the following reaction: Fe2O3(s) + 2Al(s) → 2Fe(s) + Al2O3(s). Which of the following statements about the given reaction is NOT correct?","A. It is an example of displacement reaction   |   B. It is highly endothermic reaction   |   C. Fe2O3 acts as oxidizing agent   |   D. This reaction is applicable to joining of railway tracks"
627,KEEP,"Which one of the following processes involves chemical reaction?","A. Evaporation of petrol   |   B. Dissolution of salt in water   |   C. Storing of oxygen gas under pressure in a gas cylinder   |   D. Burning of magnesium ribbon in air"
628,KEEP,"Which one of the following metals does NOT react with cold water to liberate hydrogen gas?","A. Potassium   |   B. Iron   |   C. Calcium   |   D. Sodium"
629,KEEP,"Consider the following reaction: 2HgO → 2Hg + O2. The respective state of HgO, Hg and O2 in the above reaction is","A. Liquid, solid, gas   |   B. Solid, solid, gas   |   C. Liquid, solid, liquid   |   D. Solid, liquid, gas"
630,KEEP,"The two important features of sexual reproduction in higher organisms that create genetic diversity in offspring are","A. Mitosis and fertilization   |   B. Meiosis and fertilization   |   C. Mitosis and binary fission   |   D. Meiosis and conjugation"
631,KEEP,"Eukaryotic cells are much more complex as compared to prokaryotes. Which one of the following structures is exclusively present in a eukaryotic cell?","A. Cell wall   |   B. Plasma membrane   |   C. Nucleic acid   |   D. Mitochondria"
632,KEEP,"An important cause of tooth decay by the bacterium Streptococcus mutans is because of their ability to attach to teeth surface by producing slime layer from","A. Sugar   |   B. Alcohol   |   C. Saliva   |   D. Teichoic acid"
633,KEEP,"In angiosperms, pollen grain germinates to produce two male gametes. Which one of the following functions is carried out by these gametes?","A. Both the gametes fuse with a single egg cell   |   B. Both the gametes fuse with two different egg cells   |   C. One gamete fuses with the egg cell and the other one eventually degenerate   |   D. One gamete fuses with the egg cell and the other one fuses with a diploid secondary nucleus"
634,KEEP,"In a sexually reproducing organism, which one of the following statements is appropriate both for the parent and offspring?","A. Chromosome number increases but DNA content remains constant   |   B. Both chromosome number and DNA content remains constant   |   C. Chromosome number decreases but DNA content remains constant   |   D. Both chromosome number and DNA content decreases"
635,KEEP,"Which one of the following was NOT a way in which kings in ancient India attempted to claim a higher status?","A. Identifying with a variety of deities   |   B. Assuming pompous titles   |   C. Imposing high taxes   |   D. Conquests and annexation of territories"
636,KEEP,"Which one of the following statements about the Bhakti movement is NOT correct?","A. The Bhakti movement avoided traditions that promoted diversity   |   B. In northern India, the Bhakti movement revolved around the worship of Rama and Krishna   |   C. The Bhakti movement relied on the devotion of God, both with and without attributes   |   D. While Tulsidas represented the tradition of devotion with attributes, Sant Kabir followed the path of devotion without attributes"
637,KEEP,"The 'Reign of Terror' in revolutionary France referred to","A. Bands of revolutionaries moving around to terrorise people who did not participate in the revolution   |   B. The royal forces punishing people who participated in the revolution   |   C. Trial and beheading persons considered enemies of the republic by the revolutionary tribunal   |   D. The general atmosphere of insecurity perceived by people after the beheading of the king"
638,KEEP,"Which one of the following is the oldest era in Geological History determining the age of various rock types?","A. Precambrian   |   B. Mesozoic   |   C. Cenozoic   |   D. Paleozoic"
